Date,Amount Outstanding,Issued During Fortnight,Min Rate,Max Rate
29-04-1994,61.21,,7.25,12
15-04-1994,58.97,,7,12.5
01-04-1994,60.41,,7,12.5
18-03-1994,55.71,,7,12.2
04-03-1994,51.42,,7,12
18-02-1994,51.31,,7.5,12
04-02-1994,54.99,,7.25,15
21-01-1994,57.8,,7.25,16
07-01-1994,61.03,,7.2,16.25
24-12-1993,66.22,,7.1,15
10-12-1993,68.93,,7,12.6
26-11-1993,67.55,,7.5,15
12-11-1993,67.16,,7,15
29-10-1993,69.52,,7.5,15
15-10-1993,73.01,,7.25,15
01-10-1993,81.31,,7.5,15
17-09-1993,86.92,,8,15
03-09-1993,97.35,,8,15
20-08-1993,106.87,,8,15.5
06-08-1993,114.98,,10,16.6
23-07-1993,119.97,,10.5,16.75
09-07-1993,125.57,,11,17
25-06-1993,125.29,,11,16.5
11-06-1993,117.44,,12,16.5
28-05-1993,112.67,,12,16
14-05-1993,107.97,,12,17
30-04-1993,106.48,,11.5,17
16-04-1993,103.19,,12.5,17.25
02-04-1993,98.85,,13,18
19-03-1993,98.03,,12.5,16.5
05-03-1993,101.63,,12.5,17.19
19-02-1993,101.06,,13.06,17.19
05-02-1993,102.61,,13,17.2
22-01-1993,99.62,,13.5,16.5
08-01-1993,100.16,,12.5,17.5
25-12-1992,99.55,,12.25,17.5
11-12-1992,93.8,,13,17.19
27-11-1992,93.32,,13,17.19
13-11-1992,90.44,,13,17.3
30-10-1992,84.58,,13,17.3
16-10-1992,85.2,,13,17.5
02-10-1992,84.69,,13.5,17.24
18-09-1992,82.49,,13,20
04-09-1992,81.87,,13.5,17.3
21-08-1992,81.45,,13.5,17.3
07-08-1992,81.6,,13,17.3
24-07-1992,78,,13,19.76
10-07-1992,73.08,,13.5,17.75
12-06-1992,65.56,,12.25,25
29-05-1992,59.28,,13,17.2
15-05-1992,56.84,,13,18
01-05-1992,57.35,,12.5,18.4
17-04-1992,56.08,,12.5,17
03-04-1992,58.1,,13,17.5
20-03-1992,56.82,,12,17
06-03-1992,56.93,,12.5,17.62
21-02-1992,56.56,,13.5,17.28
07-02-1992,56.33,,13.5,17.01
24-01-1992,56.55,,12,22
10-01-1992,55,,13,21
27-12-1991,53.73,,12.5,17.64
13-12-1991,54.06,,12.5,17.66
29-11-1991,52.57,,12.5,21
15-11-1991,49.57,,11,21
01-11-1991,49.56,,13,17
18-10-1991,50.23,,12,21
04-10-1991,49.01,,12,21
20-09-1991,50.1,,11.5,16
06-09-1991,51.98,,11,18.96
23-08-1991,51.21,,10,21
09-08-1991,48.05,,11,17
26-07-1991,46.83,,10.5,17
12-07-1991,48.46,,9,17
