Agra Limited
12.5
12.25
13
13.5
11
10.62
11.5
11.62
11.75
11.75
11.25
11.25
12.5
12.25
12
11.75
11
11.5
11
10.5
8
9
9
8.5
8.5
9.25
9.25
8.5
8.25
8.25
8.5
8.25
8.25
8
8
8.5
8.5
8.5
8.5
8.25
8.25
8.5
8.5
8.75
8
7.5
7.5
7.25
7.75
8.25
8.25
8.25
8.25
8
7.75
7.75
7.5
7.5
7
7.75
7.75
7.25
8
8
8.25
8.5
8.5
9
9.25
8.75
8.25
8.25
9
9
9.25
9
9
9
9
9
8.75
8.75
8.75
8.75
8.75
9.25
9.25
9
9
9
9
9.5
9.25
9.25
10
10.25
10.5
10.5
11.75
11.5
11
11.25
11.25
11.5
11.5
11.5
11.25
11.25
11.25
11.5
12.5
12.5
12
12.25
13.25
13.2
13.5
13
11
11
11
11.25
10.5
10.25
10.5
11
10.75
10.5
10.5
10.5
10.75
10.75
10.25
11
11
11.25
11
11
11.25
11.25
11.25
11.25
11.25
11.25
11.5
11.5
11.5
10.75
10.5
10.5
10.5
10.5
10.5
10.5
10.5
10.5
10.25
10.25
10.75
10.75
10.25
10.25
10.25
10.5
10.5
10.25
10.25
10.25
10
10.25
11
11
10.75
10.75
10.5
10.25
10.25
10.25
10
10
10.75
10.5
10.5
10.25
10
9.75
10.25
10.75
10.5
10.93
10.25
10.25
10.25
10.25
10
9.75
9.75
10
10
10
9.75
9.25
9.5
9.75
9.75
10
10
9.75
9.75
9.75
9.5
9.25
9.25
9
8.75
9
9.25
9
12.87
8.5
8.25
8.75
8.87
9
9
8.25
8
8.25
8.5
8.5
8.31
7.87
8.12
8.25
8.25
8.5
8.5
8.5
8.25
8.25
8.25
8.25
8.37
8
8
8
8.12
8.5
9
8.75
9.5
9.25
9.31
9.25
9.75
9.5
9.75
9.5
9.75
9.75
10
10
9.25
9.25
9.5
9.25
9.62
9.25
9
8.75
8.87
8.25
8.75
8.5
8.25
8
7.75
7.37
7.5
7
7.5
7.75
6
5.75
5.68
5.75
5.25
5.25
5.25
5
4.75
4.5
4.5
4.5
4.5
4.68
4.5
4
4.25
3.75
3.5
3
3.5
3.5
3.25
3
2.75
3
3.75
3.75
3.31
3.25
3.37
3.18
3.56
4.5
4.37
4
3.75
3.75
3.75
3.5
3.5
3.25
3.06
3.5
3.62
3.12
3.5
3
3.25
3.25
3.37
NULL
3.81
3.75
3.87
3.87
4.12
3.87
3.87
4
4
4.12
4
4
3.75
3.62
3.62
3.75
3.81
3.75
4
3.93
3.75
3.81
3.75
3.81
3.5
3.5
3.5
3.5
3.87
3.75
3.62
3.5
3.5
3.37
3.25
3.25
3.37
3.25
3.25
3.25
4.43
4.62
4.75
4.62
