Date,Initial Claims - Composite
1968-10-01,151750
1968-11-01,184400
1968-12-01,258000
1969-01-01,282000
1969-02-01,229000
1969-03-01,179000
1969-04-01,169000
1969-05-01,144200
1969-06-01,156250
1969-07-01,251250
1969-08-01,179800
1969-09-01,144000
1969-10-01,163250
1969-11-01,205000
1969-12-01,280000
1970-01-01,353600
1970-02-01,289500
1970-03-01,249250
1970-04-01,297000
1970-05-01,250800
1970-06-01,242000
1970-07-01,340000
1970-08-01,257200
1970-09-01,237500
1970-10-01,278600
1970-11-01,331750
1970-12-01,388250
1971-01-01,429400
1971-02-01,320750
1971-03-01,275500
1971-04-01,262500
1971-05-01,237800
1971-06-01,243000
1971-07-01,334400
1971-08-01,281000
1971-09-01,238250
1971-10-01,248600
1971-11-01,290250
1971-12-01,347250
1972-01-01,390400
1972-02-01,297750
1972-03-01,248000
1972-04-01,233800
1972-05-01,217750
1972-06-01,222250
1972-07-01,324600
1972-08-01,218500
1972-09-01,190200
1972-10-01,211250
1972-11-01,249000
1972-12-01,314600
1973-01-01,337000
1973-02-01,255750
1973-03-01,214800
1973-04-01,215250
1973-05-01,197750
1973-06-01,200400
1973-07-01,275750
1973-08-01,224250
1973-09-01,184200
1973-10-01,206250
1973-11-01,251250
1973-12-01,374800
1974-01-01,456750
1974-02-01,372000
1974-03-01,296000
1974-04-01,264250
1974-05-01,244000
1974-06-01,256400
1974-07-01,339750
1974-08-01,289200
1974-09-01,271500
1974-10-01,341000
1974-11-01,463200
1974-12-01,705000
1975-01-01,807250
1975-02-01,641250
1975-03-01,521400
1975-04-01,471500
1975-05-01,402600
1975-06-01,425000
1975-07-01,482250
1975-08-01,388600
1975-09-01,337500
1975-10-01,363500
1975-11-01,397000
1975-12-01,494750
1976-01-01,549400
1976-02-01,390750
1976-03-01,338250
1976-04-01,331750
1976-05-01,317400
1976-06-01,334750
1976-07-01,424000
1976-08-01,330750
1976-09-01,312000
1976-10-01,355200
1976-11-01,387250
1976-12-01,473500
1977-01-01,589400
1977-02-01,509500
1977-03-01,330250
1977-04-01,319600
1977-05-01,308250
1977-06-01,305500
1977-07-01,394800
1977-08-01,319500
1977-09-01,282750
1977-10-01,307600
1977-11-01,342750
1977-12-01,455000
1978-01-01,520750
1978-02-01,428000
1978-03-01,321000
1978-04-01,288200
1978-05-01,270250
1978-06-01,279500
1978-07-01,390800
1978-08-01,313250
1978-09-01,252000
1978-10-01,288000
1978-11-01,320750
1978-12-01,441200
1979-01-01,537500
1979-02-01,397500
1979-03-01,323000
1979-04-01,379000
1979-05-01,291000
1979-06-01,321000
1979-07-01,441500
1979-08-01,357500
1979-09-01,304000
1979-10-01,352250
1979-11-01,386000
1979-12-01,533000
1980-01-01,635250
1980-02-01,449250
1980-03-01,401800
1980-04-01,490750
1980-05-01,511600
1980-06-01,541250
1980-07-01,606000
1980-08-01,454400
1980-09-01,383000
1980-10-01,391500
1980-11-01,412200
1980-12-01,515000
1981-01-01,613600
1981-02-01,450250
1981-03-01,380000
1981-04-01,378250
1981-05-01,338800
1981-06-01,378500
1981-07-01,464000
1981-08-01,387000
1981-09-01,377750
1981-10-01,445800
1981-11-01,518500
1981-12-01,682250
1982-01-01,798600
1982-02-01,565750
1982-03-01,523350
1982-04-01,545450
1982-05-01,490140
1982-06-01,509000
1982-07-01,602300
1982-08-01,529575
1982-09-01,524950
1982-10-01,579680
1982-11-01,594000
1982-12-01,649800
1983-01-01,748720
1983-02-01,518575
1983-03-01,451675
1983-04-01,445740
1983-05-01,393375
1983-06-01,373475
1983-07-01,424080
1983-08-01,361325
1983-09-01,317275
1983-10-01,348040
1983-11-01,385075
1983-12-01,474320
1984-01-01,545775
1984-02-01,367075
1984-03-01,325400
1984-04-01,339225
1984-05-01,304475
1984-06-01,311640
1984-07-01,402100
1984-08-01,325125
1984-09-01,306280
1984-10-01,371425
1984-11-01,392175
1984-12-01,485220
1985-01-01,588575
1985-02-01,427350
1985-03-01,360560
1985-04-01,368000
1985-05-01,332025
1985-06-01,338180
1985-07-01,415850
1985-08-01,335160
1985-09-01,314200
1985-10-01,355075
1985-11-01,393500
1985-12-01,488500
1986-01-01,578975
1986-02-01,404975
1986-03-01,362180
1986-04-01,359000
1986-05-01,319360
1986-06-01,332600
1986-07-01,401675
1986-08-01,338220
1986-09-01,303625
1986-10-01,333000
1986-11-01,360120
1986-12-01,452250
1987-01-01,517791.6
1987-02-01,372936.5
1987-03-01,316492.5
1987-04-01,311017.75
1987-05-01,273454.8
1987-06-01,290048.5
1987-07-01,356452
1987-08-01,270274
1987-09-01,237955.25
1987-10-01,262038.8
1987-11-01,308831.25
1987-12-01,391804
1988-01-01,501111.8
1988-02-01,338938.25
1988-03-01,287818.75
1988-04-01,273907.8
1988-05-01,259977
1988-06-01,259057.5
1988-07-01,340025.2
1988-08-01,262488
1988-09-01,236912.5
1988-10-01,254180.4
1988-11-01,292068
1988-12-01,397520.6
1989-01-01,447423.75
1989-02-01,328078.5
1989-03-01,306542.25
1989-04-01,278282
1989-05-01,269405.25
1989-06-01,279918
1989-07-01,358763.4
1989-08-01,279730
1989-09-01,259927.4
1989-10-01,323391.75
1989-11-01,333646.75
1989-12-01,468236
1990-01-01,559711.5
1990-02-01,392317.75
1990-03-01,329308.8
1990-04-01,326856
1990-05-01,296496
1990-06-01,308946.6
1990-07-01,407258.25
1990-08-01,320936.5
1990-09-01,304230.6
1990-10-01,374945.75
1990-11-01,436081
1990-12-01,590645.8
1991-01-01,681742.25
1991-02-01,532086.25
1991-03-01,476003
1991-04-01,431627.75
1991-05-01,374545
1991-06-01,365798.4
1991-07-01,451950.5
1991-08-01,357111.6
1991-09-01,327980.5
1991-10-01,369918.5
1991-11-01,451039.8
1991-12-01,586422.75
1992-01-01,681729
1992-02-01,480067.2
1992-03-01,408942.75
1992-04-01,384351.75
1992-05-01,343566.2
1992-06-01,371103.25
1992-07-01,477153.25
1992-08-01,338640.2
