Date,Index
31-01-1975,0.4894778
28-02-1975,0.4828759
31-03-1975,0.4800466
30-04-1975,0.4555255
31-05-1975,0.4470375
30-06-1975,0.4324192
31-07-1975,0.4427935
31-08-1975,0.4658998
30-09-1975,0.4649567
31-10-1975,0.4493953
30-11-1975,0.4470375
31-12-1975,0.4545824
31-01-1976,0.4720301
29-02-1976,0.4899493
31-03-1976,0.4852337
30-04-1976,0.467786
31-05-1976,0.4696723
30-06-1976,0.4658998
31-07-1976,0.4800466
31-08-1976,0.503153
30-09-1976,0.519186
31-10-1976,0.5135272
30-11-1976,0.504096
31-12-1976,0.4904209
31-01-1977,0.495608
28-02-1977,0.4941933
31-03-1977,0.4932502
30-04-1977,0.5097548
31-05-1977,0.5187144
30-06-1977,0.5281456
31-07-1977,0.5083401
31-08-1977,0.5045676
30-09-1977,0.5059823
31-10-1977,0.4904209
30-11-1977,0.4828759
31-12-1977,0.4833475
31-01-1978,0.5078685
28-02-1978,0.5121126
31-03-1978,0.5262593
30-04-1978,0.5686996
31-05-1978,0.5790738
30-06-1978,0.5918059
31-07-1978,0.5875619
31-08-1978,0.5969931
30-09-1978,0.6191564
31-10-1978,0.6351894
30-11-1978,0.6342462
31-12-1978,0.6300022
31-01-1979,0.63236
28-02-1979,0.6422627
31-03-1979,0.6681984
30-04-1979,0.6897967
31-05-1979,0.6855618
30-06-1979,0.7013465
31-07-1979,0.6625172
31-08-1979,0.6358428
30-09-1979,0.6526725
31-10-1979,0.6680722
30-11-1979,0.6569624
31-12-1979,0.6440376
31-01-1980,0.674452
29-02-1980,0.6929867
31-03-1980,0.7096514
30-04-1980,0.7104763
31-05-1980,0.6905117
30-06-1980,0.6828669
31-07-1980,0.6952966
31-08-1980,0.7501306
30-09-1980,0.7565104
31-10-1980,0.7170212
30-11-1980,0.7361059
31-12-1980,0.8030946
31-01-1981,0.8224542
28-02-1981,0.8592485
31-03-1981,0.9153474
30-04-1981,0.9803011
31-05-1981,0.990806
30-06-1981,1.05917
31-07-1981,1.141228
31-08-1981,1.102949
30-09-1981,1.082819
31-10-1981,1.145463
30-11-1981,1.190892
31-12-1981,1.198152
31-01-1982,1.28516
28-02-1982,1.258706
31-03-1982,1.251721
30-04-1982,1.224002
31-05-1982,1.263381
30-06-1982,1.204532
31-07-1982,1.150633
31-08-1982,1.180717
30-09-1982,1.209592
31-10-1982,1.227466
30-11-1982,1.229061
31-12-1982,1.27944
31-01-1983,1.253976
28-02-1983,1.215972
31-03-1983,1.185447
30-04-1983,1.164603
31-05-1983,1.273501
30-06-1983,1.326684
31-07-1983,1.30012
31-08-1983,1.303585
30-09-1983,1.29891
31-10-1983,1.27867
30-11-1983,1.317225
31-12-1983,1.347309
31-01-1984,1.371124
29-02-1984,1.366229
31-03-1984,1.344559
30-04-1984,1.321075
31-05-1984,1.298525
30-06-1984,1.335704
31-07-1984,1.404893
31-08-1984,1.375359
30-09-1984,1.413088
31-10-1984,1.508291
30-11-1984,1.454502
31-12-1984,1.458352
31-01-1985,1.539695
28-02-1985,1.652388
31-03-1985,1.767941
30-04-1985,1.969072
31-05-1985,2.088915
30-06-1985,2.406204
31-07-1985,2.670749
31-08-1985,2.752642
30-09-1985,2.59672
31-10-1985,2.590175
30-11-1985,2.634174
31-12-1985,2.87903
31-01-1986,3.183064
28-02-1986,3.510693
31-03-1986,3.198298
30-04-1986,3.287837
31-05-1986,3.300652
30-06-1986,3.484183
31-07-1986,3.36159
31-08-1986,3.086706
30-09-1986,3.088906
31-10-1986,3.152649
30-11-1986,2.909719
31-12-1986,2.801976
31-01-1987,3.041717
28-02-1987,3.12779
31-03-1987,2.910489
30-04-1987,2.807531
31-05-1987,2.573621
30-06-1987,2.447178
31-07-1987,2.641984
31-08-1987,2.707378
30-09-1987,2.58583
31-10-1987,2.509382
30-11-1987,2.375349
31-12-1987,2.32145
31-01-1988,2.504817
29-02-1988,2.318755
31-03-1988,2.236807
30-04-1988,2.350215
31-05-1988,2.845865
30-06-1988,3.272877
31-07-1988,3.192744
31-08-1988,3.283987
30-09-1988,3.455914
31-10-1988,3.744218
30-11-1988,3.854491
31-12-1988,3.725738
31-01-1989,3.568716
28-02-1989,3.644725
31-03-1989,3.721174
30-04-1989,4.124096
31-05-1989,3.968834
30-06-1989,4.067942
31-07-1989,4.16441
31-08-1989,3.960804
30-09-1989,3.998918
31-10-1989,4.031642
30-11-1989,3.934624
31-12-1989,4.156875
31-01-1990,4.108366
28-02-1990,3.732778
31-03-1990,3.90883
30-04-1990,4.290963
31-05-1990,4.320552
30-06-1990,4.413335
31-07-1990,5.158901
31-08-1990,6.138982
30-09-1990,7.192927
31-10-1990,7.446967
30-11-1990,7.183357
31-12-1990,6.390162
31-01-1991,5.48037
28-02-1991,6.054173
31-03-1991,6.493505
30-04-1991,6.904017
31-05-1991,7.109879
30-06-1991,7.123188
31-07-1991,7.924083
31-08-1991,9.480827
