DATE,Reconstructed CPI
1877-11-01,7.704770153
1877-12-01,7.704770153
1878-01-01,7.610809542
1878-02-01,7.610809542
1878-03-01,7.51684893
1878-04-01,7.422888318
1878-05-01,7.328927707
1878-06-01,7.234967095
1878-07-01,7.331433323
1878-08-01,7.331433323
1878-09-01,7.331433323
1878-10-01,7.331433323
1878-11-01,7.237440588
1878-12-01,7.237440588
1879-01-01,7.237440588
1879-02-01,7.237440588
1879-03-01,7.237440588
1879-04-01,7.143447853
1879-05-01,7.143447853
1879-06-01,7.143447853
1879-07-01,7.143447853
1879-08-01,7.143447853
1879-09-01,7.339158753
1879-10-01,7.534869654
1879-11-01,7.730580554
1879-12-01,7.827212811
1880-01-01,7.923845067
1880-02-01,8.020477324
1880-03-01,8.020477324
1880-04-01,7.926118768
1880-05-01,7.831760211
1880-06-01,7.737401654
1880-07-01,7.737401654
1880-08-01,7.834119175
1880-09-01,7.834119175
1880-10-01,7.930836695
1880-11-01,7.930836695
1880-12-01,7.930836695
1881-01-01,7.930836695
1881-02-01,8.027554216
1881-03-01,8.027554216
1881-04-01,8.027554216
1881-05-01,8.027554216
1881-06-01,8.027554216
1881-07-01,8.124271737
1881-08-01,8.124271737
1881-09-01,8.320037321
1881-10-01,8.320037321
1881-11-01,8.320037321
1881-12-01,8.320037321
1882-01-01,8.320037321
1882-02-01,8.320037321
1882-03-01,8.320037321
1882-04-01,8.416781941
1882-05-01,8.416781941
1882-06-01,8.513526561
1882-07-01,8.418931821
1882-08-01,8.515701153
1882-09-01,8.421082251
1882-10-01,8.421082251
1882-11-01,8.326463349
1882-12-01,8.231844447
1883-01-01,8.231844447
1883-02-01,8.231844447
1883-03-01,8.231844447
1883-04-01,8.231844447
1883-05-01,8.137225546
1883-06-01,8.042606644
1883-07-01,7.947987742
1883-08-01,7.947987742
1883-09-01,7.853368841
1883-10-01,7.853368841
1883-11-01,7.853368841
1883-12-01,7.853368841
1884-01-01,7.853368841
1884-02-01,7.853368841
1884-03-01,7.853368841
1884-04-01,7.758749939
1884-05-01,7.571792109
1884-06-01,7.571792109
1884-07-01,7.571792109
1884-08-01,7.571792109
1884-09-01,7.571792109
1884-10-01,7.477144708
1884-11-01,7.477144708
1884-12-01,7.382497306
1885-01-01,7.382497306
1885-02-01,7.479635429
1885-03-01,7.384956499
1885-04-01,7.384956499
1885-05-01,7.384956499
1885-06-01,7.29027757
1885-07-01,7.29027757
1885-08-01,7.29027757
1885-09-01,7.29027757
1885-10-01,7.387481271
